exp,target,seed,config,nmi,ari,seconds
tune,0.05_1.0,1,lr:0.01|do:0.5|h:64,0.2846,0.3124,3.21
tune,0.05_1.0,1,lr:0.01|do:0.0|h:128,0.2153,0.1972,4.1
tune,0.05_1.0,1,lr:0.01|do:0.5|h:128,0.2607,0.2746,4.23
depth,0.05_1.0,2,d2,0.3223,0.2572,4.87
depth,0.05_1.0,2,d3,0.2745,0.2191,5.77
tune,0.05_1.0,2,lr:0.001|do:0.0|h:64,0.2804,0.2876,3.32
mcdepth,0.05_1.0,2,mc_d2,0.0,0.0,7.14
tune,0.05_1.0,2,lr:0.001|do:0.0|h:128,0.2945,0.2692,3.88
tune,0.05_1.0,2,lr:0.001|do:0.5|h:128,0.3018,0.2897,3.75
tune,0.05_1.0,2,lr:0.01|do:0.0|h:64,0.1993,0.1939,3.28
mcdepth,0.05_1.0,2,mc_d3,0.0293,0.0012,9.7
tune,0.05_1.0,2,lr:0.01|do:0.0|h:128,0.2187,0.2164,4.08
tune,0.05_1.0,2,lr:0.01|do:0.5|h:64,0.2539,0.2724,3.4
tune,0.05_1.0,2,lr:0.01|do:0.5|h:128,0.2139,0.2161,3.87
depth,0.05_1.0,3,d2,0.2413,0.1947,4.88
tune,0.05_1.0,3,lr:0.001|do:0.0|h:64,0.3429,0.32,3.18
depth,0.05_1.0,3,d3,0.3533,0.2811,6.24
mcdepth,0.05_1.0,3,mc_d2,0.0,0.0,7.22
tune,0.05_1.0,3,lr:0.001|do:0.0|h:128,0.3306,0.3387,3.95
tune,0.05_1.0,3,lr:0.001|do:0.5|h:128,0.4761,0.4623,3.73
tune,0.05_1.0,3,lr:0.01|do:0.0|h:64,0.2365,0.2451,3.22
mcdepth,0.05_1.0,3,mc_d3,0.0,0.0,9.73
tune,0.05_1.0,3,lr:0.01|do:0.0|h:128,0.2737,0.2956,3.87
tune,0.05_1.0,3,lr:0.01|do:0.5|h:64,0.2845,0.3087,3.24
tune,0.05_1.0,3,lr:0.01|do:0.5|h:128,0.3028,0.3336,3.83
depth,0.05_1.0,4,d2,0.2917,0.2357,4.89
depth,0.05_1.0,4,d3,0.2656,0.214,6.06
tune,0.05_1.0,4,lr:0.001|do:0.0|h:64,0.3574,0.2898,3.13
mcdepth,0.05_1.0,4,mc_d2,0.0,0.0,7.22
tune,0.05_1.0,4,lr:0.001|do:0.0|h:128,0.3772,0.3045,3.93
tune,0.05_1.0,4,lr:0.01|do:0.0|h:64,0.3039,0.2522,2.99
tune,0.05_1.0,4,lr:0.001|do:0.5|h:128,0.3625,0.3039,3.78
mcdepth,0.05_1.0,4,mc_d3,0.0,0.0,9.84
tune,0.05_1.0,4,lr:0.01|do:0.0|h:128,0.2911,0.2526,3.94
tune,0.05_1.0,4,lr:0.01|do:0.5|h:64,0.234,0.2193,3.16
tune,0.05_1.0,4,lr:0.01|do:0.5|h:128,0.2498,0.2302,3.67
depth,0.05_1.5,0,d2,0.3684,0.297,4.37
tune,0.05_1.5,0,lr:0.001|do:0.0|h:64,0.3551,0.3361,3.03
depth,0.05_1.5,0,d3,0.3154,0.2384,6.0
mcdepth,0.05_1.5,0,mc_d2,0.0,0.0,6.95
tune,0.05_1.5,0,lr:0.001|do:0.0|h:128,0.3445,0.3216,3.74
tune,0.05_1.5,0,lr:0.001|do:0.5|h:128,0.5503,0.5688,3.68
tune,0.05_1.5,0,lr:0.01|do:0.0|h:64,0.2946,0.3143,3.24
mcdepth,0.05_1.5,0,mc_d3,0.0,0.0,9.57
tune,0.05_1.5,0,lr:0.01|do:0.5|h:64,0.2881,0.3057,3.07
tune,0.05_1.5,0,lr:0.01|do:0.0|h:128,0.2869,0.303,3.91
tune,0.05_1.5,0,lr:0.01|do:0.5|h:128,0.3131,0.3378,3.68
depth,0.05_1.5,1,d2,0.3602,0.2791,4.58
tune,0.05_1.5,1,lr:0.001|do:0.0|h:64,0.3899,0.3293,2.98
depth,0.05_1.5,1,d3,0.3053,0.2705,5.66
mcdepth,0.05_1.5,1,mc_d2,0.0,0.0,7.02
tune,0.05_1.5,1,lr:0.001|do:0.0|h:128,0.3463,0.2733,3.97
tune,0.05_1.5,1,lr:0.001|do:0.5|h:128,0.4998,0.4258,3.71
tune,0.05_1.5,1,lr:0.01|do:0.0|h:64,0.2926,0.2771,3.09
mcdepth,0.05_1.5,1,mc_d3,0.0,0.0,9.62
tune,0.05_1.5,1,lr:0.01|do:0.0|h:128,0.3077,0.3302,3.94
tune,0.05_1.5,1,lr:0.01|do:0.5|h:64,0.312,0.3441,3.22
tune,0.05_1.5,1,lr:0.01|do:0.5|h:128,0.2798,0.3045,3.7
depth,0.05_1.5,2,d2,0.3701,0.3036,4.34
tune,0.05_1.5,2,lr:0.001|do:0.0|h:64,0.3659,0.3063,3.02
depth,0.05_1.5,2,d3,0.3421,0.2489,5.99
tune,0.05_1.5,2,lr:0.001|do:0.0|h:128,0.328,0.2851,3.75
mcdepth,0.05_1.5,2,mc_d2,0.0,0.0,6.92
tune,0.05_1.5,2,lr:0.001|do:0.5|h:128,0.6861,0.692,3.65
tune,0.05_1.5,2,lr:0.01|do:0.0|h:64,0.349,0.3064,3.2
tune,0.05_1.5,2,lr:0.01|do:0.5|h:64,0.3173,0.3433,3.22
mcdepth,0.05_1.5,2,mc_d3,0.0,0.0,9.55
tune,0.05_1.5,2,lr:0.01|do:0.0|h:128,0.2811,0.303,3.73
tune,0.05_1.5,2,lr:0.01|do:0.5|h:128,0.3094,0.3352,3.67
depth,0.05_1.5,3,d2,0.3669,0.2854,4.68
tune,0.05_1.5,3,lr:0.001|do:0.0|h:64,0.4349,0.3745,3.16
depth,0.05_1.5,3,d3,0.3855,0.3096,6.16
mcdepth,0.05_1.5,3,mc_d2,0.0,0.0,7.09
tune,0.05_1.5,3,lr:0.001|do:0.0|h:128,0.3832,0.3193,4.1
tune,0.05_1.5,3,lr:0.001|do:0.5|h:128,0.6763,0.6491,3.78
tune,0.05_1.5,3,lr:0.01|do:0.0|h:64,0.3137,0.3383,3.3
mcdepth,0.05_1.5,3,mc_d3,0.0,0.0,9.52
tune,0.05_1.5,3,lr:0.01|do:0.0|h:128,0.3705,0.3952,3.94
tune,0.05_1.5,3,lr:0.01|do:0.5|h:64,0.3719,0.3854,3.26
tune,0.05_1.5,3,lr:0.01|do:0.5|h:128,0.3634,0.3973,3.73
depth,0.05_1.5,4,d2,0.3503,0.2972,4.56
tune,0.05_1.5,4,lr:0.001|do:0.0|h:64,0.4111,0.3183,2.9
mcdepth,0.05_1.5,4,mc_d2,0.0,0.0,6.73
depth,0.05_1.5,4,d3,0.3293,0.2438,5.88
tune,0.05_1.5,4,lr:0.001|do:0.0|h:128,0.4071,0.3056,3.62
tune,0.05_1.5,4,lr:0.001|do:0.5|h:128,0.5191,0.4481,3.38
tune,0.05_1.5,4,lr:0.01|do:0.0|h:64,0.3408,0.2736,2.88
tune,0.05_1.5,4,lr:0.01|do:0.0|h:128,0.5154,0.4821,3.59
mcdepth,0.05_1.5,4,mc_d3,0.0,0.0,9.15
tune,0.05_1.5,4,lr:0.01|do:0.5|h:64,0.2819,0.2473,2.95
tune,0.05_1.5,4,lr:0.01|do:0.5|h:128,0.2839,0.3096,3.48
depth,0.2_0.0,0,d2,0.0189,0.0135,4.33
tune,0.2_0.0,0,lr:0.001|do:0.0|h:64,0.0075,0.0041,3.11
depth,0.2_0.0,0,d3,0.0082,0.0046,5.92
mcdepth,0.2_0.0,0,mc_d2,0.0,0.0,6.76
tune,0.2_0.0,0,lr:0.001|do:0.0|h:128,0.0073,0.0038,3.87
tune,0.2_0.0,0,lr:0.001|do:0.5|h:128,0.0092,0.0054,3.77
tune,0.2_0.0,0,lr:0.01|do:0.0|h:64,0.0101,0.0065,3.1
mcdepth,0.2_0.0,0,mc_d3,0.0009,-0.001,9.4
tune,0.2_0.0,0,lr:0.01|do:0.5|h:64,0.0047,0.0014,3.18
tune,0.2_0.0,0,lr:0.01|do:0.0|h:128,0.01,0.0062,3.93
tune,0.2_0.0,0,lr:0.01|do:0.5|h:128,0.0049,0.0016,3.97
depth,0.2_0.0,1,d2,0.0025,-0.0007,4.58
depth,0.2_0.0,1,d3,0.0068,0.0034,6.25
tune,0.2_0.0,1,lr:0.001|do:0.0|h:64,0.0022,-0.001,3.45
mcdepth,0.2_0.0,1,mc_d2,0.0,0.0,7.63
tune,0.2_0.0,1,lr:0.001|do:0.0|h:128,0.0081,0.0044,4.12
tune,0.2_0.0,1,lr:0.01|do:0.0|h:64,0.0024,-0.0007,3.16
tune,0.2_0.0,1,lr:0.001|do:0.5|h:128,0.0032,-0.0002,4.0
mcdepth,0.2_0.0,1,mc_d3,0.0,0.0,10.22
tune,0.2_0.0,1,lr:0.01|do:0.5|h:64,0.0038,0.0005,3.23
tune,0.2_0.0,1,lr:0.01|do:0.0|h:128,0.0085,0.0048,4.16
tune,0.2_0.0,1,lr:0.01|do:0.5|h:128,0.0024,-0.0008,4.03
depth,0.2_0.0,2,d2,0.0039,0.0005,4.71
tune,0.2_0.0,2,lr:0.001|do:0.0|h:64,0.0018,-0.0013,3.28
depth,0.2_0.0,2,d3,0.0121,0.0086,5.9
mcdepth,0.2_0.0,2,mc_d2,0.0,0.0,7.4
tune,0.2_0.0,2,lr:0.001|do:0.0|h:128,0.002,-0.0012,4.17
tune,0.2_0.0,2,lr:0.01|do:0.0|h:64,0.0042,0.0009,3.3
tune,0.2_0.0,2,lr:0.001|do:0.5|h:128,0.0109,0.0072,4.07
mcdepth,0.2_0.0,2,mc_d3,0.005,-0.0003,10.05
tune,0.2_0.0,2,lr:0.01|do:0.0|h:128,0.0035,0.0003,4.06
tune,0.2_0.0,2,lr:0.01|do:0.5|h:64,0.0057,0.0021,3.29
tune,0.2_0.0,2,lr:0.01|do:0.5|h:128,0.0092,0.0055,3.93
depth,0.2_0.0,3,d2,0.0028,-0.0004,4.52
tune,0.2_0.0,3,lr:0.001|do:0.0|h:64,0.0044,0.0011,3.24
depth,0.2_0.0,3,d3,0.0048,0.0011,6.13
mcdepth,0.2_0.0,3,mc_d2,0.0,0.0,7.44
tune,0.2_0.0,3,lr:0.001|do:0.0|h:128,0.004,0.0007,4.08
tune,0.2_0.0,3,lr:0.01|do:0.0|h:64,0.0071,0.0037,3.39
tune,0.2_0.0,3,lr:0.001|do:0.5|h:128,0.0116,0.0076,4.1
mcdepth,0.2_0.0,3,mc_d3,0.0019,-0.0,10.16
tune,0.2_0.0,3,lr:0.01|do:0.5|h:64,0.0074,0.004,3.34
tune,0.2_0.0,3,lr:0.01|do:0.0|h:128,0.0049,0.0015,4.33
tune,0.2_0.0,3,lr:0.01|do:0.5|h:128,0.0022,-0.001,4.01
depth,0.2_0.0,4,d2,0.004,0.0008,4.61
tune,0.2_0.0,4,lr:0.001|do:0.0|h:64,0.0045,0.0011,3.38
depth,0.2_0.0,4,d3,0.004,0.0007,6.0
mcdepth,0.2_0.0,4,mc_d2,0.0,0.0,7.52
tune,0.2_0.0,4,lr:0.001|do:0.0|h:128,0.0112,0.0071,4.07
tune,0.2_0.0,4,lr:0.01|do:0.0|h:64,0.0062,0.0027,3.17
tune,0.2_0.0,4,lr:0.001|do:0.5|h:128,0.0072,0.0035,3.98
mcdepth,0.2_0.0,4,mc_d3,0.0,0.0,10.13
tune,0.2_0.0,4,lr:0.01|do:0.5|h:64,0.0072,0.0037,3.18
tune,0.2_0.0,4,lr:0.01|do:0.0|h:128,0.0096,0.0057,4.17
tune,0.2_0.0,4,lr:0.01|do:0.5|h:128,0.0037,0.0004,4.03
depth,0.2_0.2,0,d2,0.0372,0.0263,4.72
tune,0.2_0.2,0,lr:0.001|do:0.0|h:64,0.1071,0.1051,3.4
depth,0.2_0.2,0,d3,0.0629,0.0611,6.14
mcdepth,0.2_0.2,0,mc_d2,0.0,0.0,7.58
tune,0.2_0.2,0,lr:0.001|do:0.0|h:128,0.1067,0.0998,4.13
tune,0.2_0.2,0,lr:0.01|do:0.0|h:64,0.0763,0.0712,3.18
tune,0.2_0.2,0,lr:0.001|do:0.5|h:128,0.1031,0.0976,3.94
mcdepth,0.2_0.2,0,mc_d3,0.0469,0.0411,10.26
tune,0.2_0.2,0,lr:0.01|do:0.0|h:128,0.0757,0.0682,3.98
tune,0.2_0.2,0,lr:0.01|do:0.5|h:64,0.0673,0.061,3.2
tune,0.2_0.2,0,lr:0.01|do:0.5|h:128,0.0927,0.09,3.78
depth,0.2_0.2,1,d2,0.1225,0.1233,4.43
tune,0.2_0.2,1,lr:0.001|do:0.0|h:64,0.0913,0.08,3.09
depth,0.2_0.2,1,d3,0.1255,0.1148,6.32
mcdepth,0.2_0.2,1,mc_d2,0.0,0.0,7.4
tune,0.2_0.2,1,lr:0.001|do:0.0|h:128,0.0513,0.044,4.05
tune,0.2_0.2,1,lr:0.001|do:0.5|h:128,0.0912,0.0797,3.99
tune,0.2_0.2,1,lr:0.01|do:0.0|h:64,0.0736,0.0639,3.39
mcdepth,0.2_0.2,1,mc_d3,0.0,0.0,9.87
tune,0.2_0.2,1,lr:0.01|do:0.5|h:64,0.0765,0.0709,3.26
tune,0.2_0.2,1,lr:0.01|do:0.0|h:128,0.0498,0.0428,4.25
tune,0.2_0.2,1,lr:0.01|do:0.5|h:128,0.1247,0.1169,4.15
depth,0.2_0.2,2,d2,0.0762,0.0655,5.18
tune,0.2_0.2,2,lr:0.001|do:0.0|h:64,0.0838,0.0786,3.19
depth,0.2_0.2,2,d3,0.0617,0.057,6.22
mcdepth,0.2_0.2,2,mc_d2,0.0,0.0,7.55
tune,0.2_0.2,2,lr:0.001|do:0.0|h:128,0.0629,0.0493,4.3
tune,0.2_0.2,2,lr:0.01|do:0.0|h:64,0.0753,0.0655,3.34
tune,0.2_0.2,2,lr:0.001|do:0.5|h:128,0.095,0.0897,4.06
mcdepth,0.2_0.2,2,mc_d3,0.0625,0.0585,10.22
tune,0.2_0.2,2,lr:0.01|do:0.0|h:128,0.058,0.047,4.03
tune,0.2_0.2,2,lr:0.01|do:0.5|h:64,0.0827,0.0758,3.17
tune,0.2_0.2,2,lr:0.01|do:0.5|h:128,0.0594,0.0525,4.01
depth,0.2_0.2,3,d2,0.1408,0.1337,4.76
tune,0.2_0.2,3,lr:0.001|do:0.0|h:64,0.2203,0.227,3.41
depth,0.2_0.2,3,d3,0.1774,0.1705,6.42
mcdepth,0.2_0.2,3,mc_d2,0.002,0.0,7.58
tune,0.2_0.2,3,lr:0.001|do:0.0|h:128,0.22,0.226,4.56
tune,0.2_0.2,3,lr:0.01|do:0.0|h:64,0.174,0.17,3.18
tune,0.2_0.2,3,lr:0.001|do:0.5|h:128,0.2429,0.2534,3.85
mcdepth,0.2_0.2,3,mc_d3,0.0376,0.0245,10.19
tune,0.2_0.2,3,lr:0.01|do:0.5|h:64,0.2431,0.2638,3.16
tune,0.2_0.2,3,lr:0.01|do:0.0|h:128,0.1735,0.1721,4.04
tune,0.2_0.2,3,lr:0.01|do:0.5|h:128,0.2308,0.2489,3.92
depth,0.2_0.2,4,d2,0.1154,0.1107,4.49
tune,0.2_0.2,4,lr:0.001|do:0.0|h:64,0.1439,0.1471,3.13
depth,0.2_0.2,4,d3,0.1006,0.1018,5.58
tune,0.2_0.2,4,lr:0.001|do:0.0|h:128,0.1219,0.116,3.79
mcdepth,0.2_0.2,4,mc_d2,0.0,0.0,7.12
tune,0.2_0.2,4,lr:0.01|do:0.0|h:64,0.1033,0.1021,3.04
tune,0.2_0.2,4,lr:0.001|do:0.5|h:128,0.0968,0.0886,3.82
mcdepth,0.2_0.2,4,mc_d3,0.0081,0.0002,9.76
tune,0.2_0.2,4,lr:0.01|do:0.5|h:64,0.1131,0.1123,3.41
tune,0.2_0.2,4,lr:0.01|do:0.0|h:128,0.1247,0.1151,3.8
tune,0.2_0.2,4,lr:0.01|do:0.5|h:128,0.077,0.0707,3.85
depth,0.2_0.35,0,d2,0.3377,0.3451,4.59
tune,0.2_0.35,0,lr:0.001|do:0.0|h:64,0.4542,0.4852,3.07
depth,0.2_0.35,0,d3,0.2737,0.2781,6.23
mcdepth,0.2_0.35,0,mc_d2,0.0,0.0,7.23
tune,0.2_0.35,0,lr:0.001|do:0.0|h:128,0.4004,0.4061,3.93
tune,0.2_0.35,0,lr:0.001|do:0.5|h:128,0.3928,0.4067,3.97
tune,0.2_0.35,0,lr:0.01|do:0.0|h:64,0.4215,0.4528,3.35
mcdepth,0.2_0.35,0,mc_d3,0.1394,0.1306,9.72
tune,0.2_0.35,0,lr:0.01|do:0.5|h:64,0.3943,0.4301,3.23
tune,0.2_0.35,0,lr:0.01|do:0.0|h:128,0.2514,0.2457,4.11
tune,0.2_0.35,0,lr:0.01|do:0.5|h:128,0.2617,0.2783,3.75
depth,0.2_0.35,1,d2,0.5342,0.5887,4.6
tune,0.2_0.35,1,lr:0.001|do:0.0|h:64,0.2845,0.2755,3.05
depth,0.2_0.35,1,d3,0.4555,0.5026,5.81
mcdepth,0.2_0.35,1,mc_d2,0.0,0.0,7.02
tune,0.2_0.35,1,lr:0.001|do:0.0|h:128,0.5523,0.6081,3.91
tune,0.2_0.35,1,lr:0.01|do:0.0|h:64,0.3095,0.2969,3.1
tune,0.2_0.35,1,lr:0.001|do:0.5|h:128,0.5455,0.6003,3.73
tune,0.2_0.35,1,lr:0.01|do:0.0|h:128,0.46,0.5062,3.92
mcdepth,0.2_0.35,1,mc_d3,0.0,0.0,9.84
tune,0.2_0.35,1,lr:0.01|do:0.5|h:64,0.2437,0.2547,3.18
tune,0.2_0.35,1,lr:0.01|do:0.5|h:128,0.4333,0.4795,3.74
depth,0.2_0.35,2,d2,0.3459,0.3683,4.24
tune,0.2_0.35,2,lr:0.001|do:0.0|h:64,0.4661,0.5033,3.13
depth,0.2_0.35,2,d3,0.2653,0.2649,6.1
tune,0.2_0.35,2,lr:0.001|do:0.0|h:128,0.4967,0.5415,3.75
mcdepth,0.2_0.35,2,mc_d2,0.0,0.0,6.88
tune,0.2_0.35,2,lr:0.001|do:0.5|h:128,0.4848,0.5335,3.67
tune,0.2_0.35,2,lr:0.01|do:0.0|h:64,0.3004,0.3027,3.22
mcdepth,0.2_0.35,2,mc_d3,0.0003,-0.0,9.42
tune,0.2_0.35,2,lr:0.01|do:0.5|h:64,0.3642,0.3954,3.14
tune,0.2_0.35,2,lr:0.01|do:0.0|h:128,0.4421,0.4889,3.58
tune,0.2_0.35,2,lr:0.01|do:0.5|h:128,0.3931,0.4345,3.71
depth,0.2_0.35,3,d2,0.5219,0.5755,4.63
depth,0.2_0.35,3,d3,0.5183,0.5704,5.96
tune,0.2_0.35,3,lr:0.001|do:0.0|h:64,0.6293,0.6901,3.02
mcdepth,0.2_0.35,3,mc_d2,0.004,0.0,6.9
tune,0.2_0.35,3,lr:0.001|do:0.0|h:128,0.6205,0.6795,3.92
tune,0.2_0.35,3,lr:0.01|do:0.0|h:64,0.5233,0.5776,3.0
mcdepth,0.2_0.35,3,mc_d3,0.1134,0.0912,9.19
tune,0.2_0.35,3,lr:0.001|do:0.5|h:128,0.6331,0.6934,3.81
tune,0.2_0.35,3,lr:0.01|do:0.0|h:128,0.5914,0.6493,3.87
tune,0.2_0.35,3,lr:0.01|do:0.5|h:64,0.5055,0.5603,3.29
tune,0.2_0.35,3,lr:0.01|do:0.5|h:128,0.4968,0.551,3.75
depth,0.2_0.35,4,d2,0.5373,0.5852,4.47
tune,0.2_0.35,4,lr:0.001|do:0.0|h:64,0.6032,0.6575,3.07
depth,0.2_0.35,4,d3,0.5096,0.563,5.99
mcdepth,0.2_0.35,4,mc_d2,0.0,0.0,6.89
tune,0.2_0.35,4,lr:0.001|do:0.0|h:128,0.6156,0.6678,3.81
tune,0.2_0.35,4,lr:0.001|do:0.5|h:128,0.5622,0.6182,3.74
tune,0.2_0.35,4,lr:0.01|do:0.0|h:64,0.4964,0.5455,3.24
tune,0.2_0.35,4,lr:0.01|do:0.0|h:128,0.5028,0.5512,3.89
mcdepth,0.2_0.35,4,mc_d3,0.1493,0.1054,9.69
tune,0.2_0.35,4,lr:0.01|do:0.5|h:64,0.3122,0.3016,3.12
tune,0.2_0.35,4,lr:0.01|do:0.5|h:128,0.4755,0.5285,3.85
depth,0.2_0.5,0,d2,0.6248,0.682,4.7
tune,0.2_0.5,0,lr:0.001|do:0.0|h:64,0.7154,0.7671,3.11
depth,0.2_0.5,0,d3,0.5883,0.6428,6.19
mcdepth,0.2_0.5,0,mc_d2,0.0,0.0,6.98
tune,0.2_0.5,0,lr:0.001|do:0.0|h:128,0.7619,0.8128,3.99
tune,0.2_0.5,0,lr:0.001|do:0.5|h:128,0.7432,0.7964,3.8
mcdepth,0.2_0.5,0,mc_d3,0.4692,0.5078,9.47
tune,0.2_0.5,0,lr:0.01|do:0.0|h:64,0.5695,0.6222,3.33
tune,0.2_0.5,0,lr:0.01|do:0.0|h:128,0.6264,0.686,3.97
tune,0.2_0.5,0,lr:0.01|do:0.5|h:64,0.494,0.544,3.37
tune,0.2_0.5,0,lr:0.01|do:0.5|h:128,0.5347,0.5869,3.79
depth,0.2_0.5,1,d2,0.6696,0.7284,4.6
tune,0.2_0.5,1,lr:0.001|do:0.0|h:64,0.6965,0.7534,3.05
mcdepth,0.2_0.5,1,mc_d2,0.0,0.0,7.09
depth,0.2_0.5,1,d3,0.5551,0.6089,5.81
tune,0.2_0.5,1,lr:0.001|do:0.0|h:128,0.7478,0.8034,3.83
tune,0.2_0.5,1,lr:0.01|do:0.0|h:64,0.3656,0.3638,3.21
tune,0.2_0.5,1,lr:0.001|do:0.5|h:128,0.7641,0.8197,3.73
tune,0.2_0.5,1,lr:0.01|do:0.0|h:128,0.7123,0.7685,3.82
mcdepth,0.2_0.5,1,mc_d3,0.0,0.0,9.59
tune,0.2_0.5,1,lr:0.01|do:0.5|h:64,0.4915,0.5455,3.14
tune,0.2_0.5,1,lr:0.01|do:0.5|h:128,0.501,0.5553,3.94
depth,0.2_0.5,2,d2,0.6216,0.6765,4.29
depth,0.2_0.5,2,d3,0.5032,0.5526,5.89
tune,0.2_0.5,2,lr:0.001|do:0.0|h:64,0.7008,0.7567,3.31
mcdepth,0.2_0.5,2,mc_d2,0.002,0.0,6.8
tune,0.2_0.5,2,lr:0.001|do:0.0|h:128,0.706,0.7617,3.7
tune,0.2_0.5,2,lr:0.001|do:0.5|h:128,0.7145,0.771,3.92
tune,0.2_0.5,2,lr:0.01|do:0.0|h:64,0.5174,0.5707,3.27
mcdepth,0.2_0.5,2,mc_d3,0.0,0.0,9.35
tune,0.2_0.5,2,lr:0.01|do:0.0|h:128,0.6555,0.7046,3.81
tune,0.2_0.5,2,lr:0.01|do:0.5|h:64,0.5167,0.5702,3.04
tune,0.2_0.5,2,lr:0.01|do:0.5|h:128,0.4974,0.5503,3.86
depth,0.2_0.5,3,d2,0.6775,0.7355,4.65
depth,0.2_0.5,3,d3,0.6251,0.6846,5.82
mcdepth,0.2_0.5,3,mc_d2,0.0136,0.0001,6.83
tune,0.2_0.5,3,lr:0.001|do:0.0|h:64,0.7522,0.8063,3.22
tune,0.2_0.5,3,lr:0.001|do:0.0|h:128,0.7642,0.8178,3.95
mcdepth,0.2_0.5,3,mc_d3,0.3242,0.2934,9.25
tune,0.2_0.5,3,lr:0.01|do:0.0|h:64,0.6208,0.6723,3.14
tune,0.2_0.5,3,lr:0.001|do:0.5|h:128,0.7999,0.8513,3.87
tune,0.2_0.5,3,lr:0.01|do:0.0|h:128,0.7563,0.8126,3.9
tune,0.2_0.5,3,lr:0.01|do:0.5|h:64,0.5584,0.6126,3.28
tune,0.2_0.5,3,lr:0.01|do:0.5|h:128,0.5815,0.6366,3.82
depth,0.2_0.5,4,d2,0.6241,0.6814,4.47
depth,0.2_0.5,4,d3,0.5851,0.6384,5.88
tune,0.2_0.5,4,lr:0.001|do:0.0|h:64,0.7924,0.8395,3.17
mcdepth,0.2_0.5,4,mc_d2,0.0,0.0,6.81
tune,0.2_0.5,4,lr:0.001|do:0.0|h:128,0.7668,0.8178,3.89
tune,0.2_0.5,4,lr:0.01|do:0.0|h:64,0.7754,0.825,3.14
tune,0.2_0.5,4,lr:0.001|do:0.5|h:128,0.7743,0.8233,3.92
tune,0.2_0.5,4,lr:0.01|do:0.0|h:128,0.5839,0.6424,3.89
mcdepth,0.2_0.5,4,mc_d3,0.002,0.0,9.66
tune,0.2_0.5,4,lr:0.01|do:0.5|h:64,0.5783,0.6364,3.2
tune,0.2_0.5,4,lr:0.01|do:0.5|h:128,0.5572,0.6151,3.83
depth,0.2_0.65,0,d2,0.7225,0.7812,4.54
tune,0.2_0.65,0,lr:0.001|do:0.0|h:64,0.8493,0.8915,3.23
depth,0.2_0.65,0,d3,0.6273,0.6816,6.12
mcdepth,0.2_0.65,0,mc_d2,0.0,0.0,6.91
tune,0.2_0.65,0,lr:0.001|do:0.0|h:128,0.8507,0.8937,3.95
tune,0.2_0.65,0,lr:0.01|do:0.0|h:64,0.7731,0.8205,3.33
mcdepth,0.2_0.65,0,mc_d3,0.0,0.0,9.45
tune,0.2_0.65,0,lr:0.001|do:0.5|h:128,0.8381,0.8836,3.87
tune,0.2_0.65,0,lr:0.01|do:0.0|h:128,0.8544,0.8939,3.88
tune,0.2_0.65,0,lr:0.01|do:0.5|h:64,0.5612,0.6136,3.22
tune,0.2_0.65,0,lr:0.01|do:0.5|h:128,0.5551,0.6076,3.98
depth,0.2_0.65,1,d2,0.6997,0.755,4.55
depth,0.2_0.65,1,d3,0.6196,0.6747,5.8
mcdepth,0.2_0.65,1,mc_d2,0.0,0.0,6.82
tune,0.2_0.65,1,lr:0.001|do:0.0|h:64,0.8077,0.8499,3.26
tune,0.2_0.65,1,lr:0.001|do:0.0|h:128,0.8031,0.8474,3.89
tune,0.2_0.65,1,lr:0.01|do:0.0|h:64,0.5667,0.6188,3.24
tune,0.2_0.65,1,lr:0.001|do:0.5|h:128,0.8315,0.8786,3.88
mcdepth,0.2_0.65,1,mc_d3,0.0,0.0,9.54
tune,0.2_0.65,1,lr:0.01|do:0.0|h:128,0.7228,0.7656,3.96
tune,0.2_0.65,1,lr:0.01|do:0.5|h:64,0.5383,0.5964,3.19
tune,0.2_0.65,1,lr:0.01|do:0.5|h:128,0.561,0.6206,3.92
depth,0.2_0.65,2,d2,0.6682,0.729,4.46
depth,0.2_0.65,2,d3,0.5806,0.6239,6.0
tune,0.2_0.65,2,lr:0.001|do:0.0|h:64,0.8011,0.8492,3.21
mcdepth,0.2_0.65,2,mc_d2,0.0,0.0,6.82
tune,0.2_0.65,2,lr:0.001|do:0.0|h:128,0.8022,0.8517,3.85
tune,0.2_0.65,2,lr:0.01|do:0.0|h:64,0.7358,0.79,3.2
mcdepth,0.2_0.65,2,mc_d3,0.0,0.0,9.37
tune,0.2_0.65,2,lr:0.001|do:0.5|h:128,0.8031,0.8496,3.95
tune,0.2_0.65,2,lr:0.01|do:0.0|h:128,0.7455,0.7965,3.86
tune,0.2_0.65,2,lr:0.01|do:0.5|h:64,0.5188,0.5743,3.13
tune,0.2_0.65,2,lr:0.01|do:0.5|h:128,0.5426,0.6004,3.87
depth,0.2_0.65,3,d2,0.6907,0.7454,4.51
depth,0.2_0.65,3,d3,0.6615,0.7129,5.97
tune,0.2_0.65,3,lr:0.001|do:0.0|h:64,0.8006,0.8494,3.31
mcdepth,0.2_0.65,3,mc_d2,0.0079,0.0,7.12
tune,0.2_0.65,3,lr:0.001|do:0.0|h:128,0.8177,0.8662,4.06
tune,0.2_0.65,3,lr:0.01|do:0.0|h:64,0.6573,0.7099,3.36
mcdepth,0.2_0.65,3,mc_d3,0.6414,0.6973,9.63
tune,0.2_0.65,3,lr:0.001|do:0.5|h:128,0.868,0.9063,4.05
