exp,target,seed,config,nmi,ari,seconds
mcdepth,0.05_0.2,1,mc_d2,0.0,0.0,6.41
tune,0.05_0.2,1,lr:0.001|do:0.0|h:128,0.0431,0.0357,3.35
tune,0.05_0.2,1,lr:0.01|do:0.0|h:64,0.0169,0.0122,2.61
tune,0.05_0.2,1,lr:0.001|do:0.5|h:128,0.0391,0.0314,3.33
mcdepth,0.05_0.2,1,mc_d3,0.002,0.0,8.62
tune,0.05_0.2,1,lr:0.01|do:0.5|h:64,0.0333,0.029,2.62
tune,0.05_0.2,1,lr:0.01|do:0.0|h:128,0.0267,0.0209,3.48
tune,0.05_0.2,1,lr:0.01|do:0.5|h:128,0.0262,0.0212,3.32
depth,0.05_0.2,2,d2,0.0322,0.0257,3.78
depth,0.05_0.2,2,d3,0.0188,0.0129,4.9
tune,0.05_0.2,2,lr:0.001|do:0.0|h:64,0.0211,0.0171,2.61
mcdepth,0.05_0.2,2,mc_d2,0.0,0.0,6.09
tune,0.05_0.2,2,lr:0.001|do:0.0|h:128,0.0283,0.022,3.26
tune,0.05_0.2,2,lr:0.01|do:0.0|h:64,0.0177,0.0138,2.65
tune,0.05_0.2,2,lr:0.001|do:0.5|h:128,0.0319,0.0228,3.31
tune,0.05_0.2,2,lr:0.01|do:0.5|h:64,0.0092,0.0054,2.67
tune,0.05_0.2,2,lr:0.01|do:0.0|h:128,0.0231,0.0174,3.46
mcdepth,0.05_0.2,2,mc_d3,0.0106,0.005,8.5
tune,0.05_0.2,2,lr:0.01|do:0.5|h:128,0.0269,0.0197,3.36
depth,0.05_0.2,3,d2,0.0371,0.0301,3.82
tune,0.05_0.2,3,lr:0.001|do:0.0|h:64,0.0417,0.0379,2.83
depth,0.05_0.2,3,d3,0.024,0.019,5.45
mcdepth,0.05_0.2,3,mc_d2,0.0,0.0,6.23
tune,0.05_0.2,3,lr:0.001|do:0.0|h:128,0.0562,0.0507,3.6
tune,0.05_0.2,3,lr:0.001|do:0.5|h:128,0.0449,0.0407,3.85
tune,0.05_0.2,3,lr:0.01|do:0.0|h:64,0.0304,0.0255,3.16
mcdepth,0.05_0.2,3,mc_d3,0.0101,0.0065,9.24
tune,0.05_0.2,3,lr:0.01|do:0.5|h:64,0.0195,0.0157,3.06
tune,0.05_0.2,3,lr:0.01|do:0.0|h:128,0.0323,0.027,3.89
tune,0.05_0.2,3,lr:0.01|do:0.5|h:128,0.0214,0.018,3.87
depth,0.05_0.2,4,d2,0.0313,0.0255,4.44
depth,0.05_0.2,4,d3,0.0281,0.0237,5.58
tune,0.05_0.2,4,lr:0.001|do:0.0|h:64,0.0266,0.0221,3.11
mcdepth,0.05_0.2,4,mc_d2,0.0,0.0,7.0
tune,0.05_0.2,4,lr:0.001|do:0.0|h:128,0.0468,0.0413,3.79
tune,0.05_0.2,4,lr:0.01|do:0.0|h:64,0.0304,0.0249,3.07
tune,0.05_0.2,4,lr:0.001|do:0.5|h:128,0.0318,0.0266,3.79
mcdepth,0.05_0.2,4,mc_d3,0.0223,0.0181,9.62
tune,0.05_0.2,4,lr:0.01|do:0.5|h:64,0.0289,0.0236,3.18
tune,0.05_0.2,4,lr:0.01|do:0.0|h:128,0.0451,0.0417,4.08
tune,0.05_0.2,4,lr:0.01|do:0.5|h:128,0.014,0.0099,3.96
depth,0.05_0.35,0,d2,0.0956,0.0831,4.53
tune,0.05_0.35,0,lr:0.001|do:0.0|h:64,0.084,0.0699,3.28
depth,0.05_0.35,0,d3,0.0268,0.0207,5.9
mcdepth,0.05_0.35,0,mc_d2,0.0,0.0,7.34
tune,0.05_0.35,0,lr:0.001|do:0.0|h:128,0.1102,0.0988,3.97
tune,0.05_0.35,0,lr:0.01|do:0.0|h:64,0.0633,0.0533,3.18
tune,0.05_0.35,0,lr:0.001|do:0.5|h:128,0.1175,0.1146,3.92
tune,0.05_0.35,0,lr:0.01|do:0.5|h:64,0.0477,0.0409,3.16
mcdepth,0.05_0.35,0,mc_d3,0.0043,0.0016,10.16
tune,0.05_0.35,0,lr:0.01|do:0.0|h:128,0.0929,0.088,4.08
tune,0.05_0.35,0,lr:0.01|do:0.5|h:128,0.0729,0.0689,3.92
depth,0.05_0.35,1,d2,0.0928,0.089,4.52
tune,0.05_0.35,1,lr:0.001|do:0.0|h:64,0.0641,0.0614,3.17
depth,0.05_0.35,1,d3,0.0919,0.08,6.26
mcdepth,0.05_0.35,1,mc_d2,0.0,0.0,7.09
tune,0.05_0.35,1,lr:0.001|do:0.0|h:128,0.1427,0.1277,3.87
tune,0.05_0.35,1,lr:0.01|do:0.0|h:64,0.0546,0.0504,3.25
tune,0.05_0.35,1,lr:0.001|do:0.5|h:128,0.0702,0.0583,3.94
mcdepth,0.05_0.35,1,mc_d3,0.0,0.0,9.81
tune,0.05_0.35,1,lr:0.01|do:0.5|h:64,0.0609,0.0557,3.17
tune,0.05_0.35,1,lr:0.01|do:0.0|h:128,0.0927,0.0825,3.99
tune,0.05_0.35,1,lr:0.01|do:0.5|h:128,0.0633,0.0543,3.91
depth,0.05_0.35,2,d2,0.0625,0.0551,4.39
depth,0.05_0.35,2,d3,0.0697,0.0635,5.71
tune,0.05_0.35,2,lr:0.001|do:0.0|h:64,0.1169,0.1103,3.17
mcdepth,0.05_0.35,2,mc_d2,0.0,0.0,6.92
tune,0.05_0.35,2,lr:0.001|do:0.0|h:128,0.103,0.0972,3.84
tune,0.05_0.35,2,lr:0.01|do:0.0|h:64,0.084,0.0761,3.2
tune,0.05_0.35,2,lr:0.001|do:0.5|h:128,0.0733,0.0582,3.85
mcdepth,0.05_0.35,2,mc_d3,0.0087,0.0005,9.63
tune,0.05_0.35,2,lr:0.01|do:0.0|h:128,0.0661,0.0596,4.02
tune,0.05_0.35,2,lr:0.01|do:0.5|h:64,0.0977,0.0947,3.16
tune,0.05_0.35,2,lr:0.01|do:0.5|h:128,0.0432,0.0371,3.87
depth,0.05_0.35,3,d2,0.0773,0.0617,4.45
tune,0.05_0.35,3,lr:0.001|do:0.0|h:64,0.1578,0.1457,3.19
depth,0.05_0.35,3,d3,0.0534,0.0454,6.07
