structure,feature,seed,method,nmi,ari,seconds
0.35,0.65,0,kmeans,0.9011,0.9228,0.01
0.35,0.65,0,dmon,0.9581,0.971,2.36
0.35,0.65,0,mincut,0.0,0.0,2.81
0.35,0.65,1,louvain,0.1454,0.1289,0.16
0.35,0.65,1,leiden,0.1025,0.0857,0.07
0.35,0.65,1,kmeans,0.9299,0.9552,0.01
0.35,0.65,1,dmon,0.9681,0.9814,2.35
0.35,0.65,1,mincut,0.9644,0.9788,2.77
0.35,0.65,2,louvain,0.1171,0.101,0.15
0.35,0.65,2,leiden,0.0902,0.0625,0.07
0.35,0.65,2,kmeans,0.8879,0.919,0.01
0.35,0.65,2,dmon,0.9564,0.9735,2.31
0.35,0.65,2,mincut,0.0134,0.0117,2.76
0.35,0.65,3,louvain,0.113,0.0701,0.16
0.35,0.65,3,leiden,0.298,0.2903,0.07
0.35,0.65,3,kmeans,0.9738,0.9841,0.01
0.35,0.65,3,dmon,0.9906,0.9947,2.37
0.35,0.65,3,mincut,0.0,0.0,2.77
0.35,0.65,4,louvain,0.2752,0.2872,0.18
0.35,0.65,4,leiden,0.0776,0.0585,0.07
0.35,0.65,4,kmeans,0.9347,0.9553,0.01
0.35,0.65,4,dmon,0.9728,0.984,2.33
0.35,0.65,4,mincut,0.02,0.0011,2.77
0.35,0.8,0,louvain,0.1995,0.2011,0.18
0.35,0.8,0,leiden,0.1609,0.1465,0.08
0.35,0.8,0,kmeans,0.9554,0.9684,0.01
0.35,0.8,0,dmon,0.9799,0.9868,2.34
0.35,0.8,0,mincut,0.0,0.0,2.77
0.35,0.8,1,louvain,0.1454,0.1289,0.16
0.35,0.8,1,leiden,0.1025,0.0857,0.08
0.35,0.8,1,kmeans,0.9859,0.992,0.01
0.35,0.8,1,dmon,0.9906,0.9947,2.32
0.35,0.8,1,mincut,0.9812,0.9893,2.77
0.35,0.8,2,louvain,0.1171,0.101,0.15
0.35,0.8,2,leiden,0.0902,0.0625,0.07
0.35,0.8,2,kmeans,0.9573,0.9734,0.01
0.35,0.8,2,dmon,0.9822,0.9894,2.32
0.35,0.8,2,mincut,0.9718,0.984,2.75
0.35,0.8,3,louvain,0.113,0.0701,0.16
0.35,0.8,3,leiden,0.298,0.2903,0.07
0.35,0.8,3,kmeans,1.0,1.0,0.01
0.35,0.8,3,dmon,1.0,1.0,2.34
0.35,0.8,3,mincut,0.1889,0.048,2.75
0.35,0.8,4,louvain,0.2752,0.2872,0.18
0.35,0.8,4,leiden,0.0776,0.0585,0.07
0.35,0.8,4,kmeans,0.9906,0.9947,0.01
0.35,0.8,4,dmon,0.9906,0.9947,2.36
0.35,0.8,4,mincut,0.9906,0.9947,2.78
0.35,1.0,0,louvain,0.1995,0.2011,0.18
0.35,1.0,0,leiden,0.1609,0.1465,0.08
0.35,1.0,0,kmeans,0.9953,0.9973,0.01
0.35,1.0,0,dmon,0.9906,0.9947,2.33
0.35,1.0,0,mincut,0.9906,0.9947,2.76
0.35,1.0,1,louvain,0.1454,0.1289,0.16
0.35,1.0,1,leiden,0.1025,0.0857,0.07
0.35,1.0,1,kmeans,1.0,1.0,0.01
0.35,1.0,1,dmon,1.0,1.0,2.35
0.35,1.0,1,mincut,1.0,1.0,2.76
0.35,1.0,2,louvain,0.1171,0.101,0.15
0.35,1.0,2,leiden,0.0902,0.0625,0.07
0.35,1.0,2,kmeans,0.9953,0.9973,0.01
0.35,1.0,2,dmon,1.0,1.0,2.36
0.35,1.0,2,mincut,0.9859,0.992,2.75
0.35,1.0,3,louvain,0.113,0.0701,0.16
0.35,1.0,3,leiden,0.298,0.2903,0.07
0.35,1.0,3,kmeans,1.0,1.0,0.01
0.35,1.0,3,dmon,1.0,1.0,2.33
0.35,1.0,3,mincut,1.0,1.0,2.77
0.35,1.0,4,louvain,0.2752,0.2872,0.18
0.35,1.0,4,leiden,0.0776,0.0585,0.07
0.35,1.0,4,kmeans,1.0,1.0,0.01
0.35,1.0,4,dmon,1.0,1.0,2.3
0.35,1.0,4,mincut,1.0,1.0,2.76
0.35,1.5,0,louvain,0.1995,0.2011,0.18
0.35,1.5,0,leiden,0.1609,0.1465,0.08
0.35,1.5,0,kmeans,1.0,1.0,0.01
0.35,1.5,0,dmon,1.0,1.0,2.26
0.35,1.5,0,mincut,1.0,1.0,2.62
0.35,1.5,1,louvain,0.1454,0.1289,0.16
0.35,1.5,1,leiden,0.1025,0.0857,0.07
0.35,1.5,1,kmeans,1.0,1.0,0.01
0.35,1.5,1,dmon,1.0,1.0,2.35
0.35,1.5,1,mincut,1.0,1.0,2.82
0.35,1.5,2,louvain,0.1171,0.101,0.15
0.35,1.5,2,leiden,0.0902,0.0625,0.07
0.35,1.5,2,kmeans,1.0,1.0,0.01
0.35,1.5,2,dmon,1.0,1.0,2.25
0.35,1.5,2,mincut,1.0,1.0,2.64
0.35,1.5,3,louvain,0.113,0.0701,0.28
0.35,1.5,3,leiden,0.298,0.2903,0.07
0.35,1.5,3,kmeans,1.0,1.0,0.01
0.35,1.5,3,dmon,1.0,1.0,2.25
0.35,1.5,3,mincut,1.0,1.0,2.67
0.35,1.5,4,louvain,0.2752,0.2872,0.18
0.35,1.5,4,leiden,0.0776,0.0585,0.07
0.35,1.5,4,kmeans,1.0,1.0,0.01
0.35,1.5,4,dmon,1.0,1.0,2.27
0.35,1.5,4,mincut,1.0,1.0,2.67
0.45,0.0,0,louvain,0.7211,0.7421,0.08
0.45,0.0,0,leiden,0.8708,0.9112,0.06
0.45,0.0,0,kmeans,0.007,0.0033,0.03
0.45,0.0,0,dmon,0.006,0.0026,2.27
0.45,0.0,0,mincut,0.0,0.0,2.64
0.45,0.0,1,louvain,0.7558,0.8043,0.13
0.45,0.0,1,leiden,0.8353,0.8833,0.06
0.45,0.0,1,kmeans,0.0012,-0.0019,0.03
0.45,0.0,1,dmon,0.0097,0.0062,2.28
0.45,0.0,1,mincut,0.0014,-0.0,2.64
0.45,0.0,2,louvain,0.8104,0.8529,0.09
0.45,0.0,2,leiden,0.8667,0.9086,0.07
0.45,0.0,2,kmeans,0.0029,-0.0003,0.03
0.45,0.0,2,dmon,0.0047,0.0012,2.21
0.45,0.0,2,mincut,0.0037,0.0001,2.67
0.45,0.0,3,louvain,0.8546,0.8938,0.1
0.45,0.0,3,leiden,0.8768,0.9164,0.06
0.45,0.0,3,kmeans,0.0065,0.003,0.03
0.45,0.0,3,dmon,0.0045,0.001,2.23
0.45,0.0,3,mincut,0.0037,0.0002,2.61
0.45,0.0,4,louvain,0.841,0.886,0.11
0.45,0.0,4,leiden,0.8371,0.8836,0.06
0.45,0.0,4,kmeans,0.0026,-0.0006,0.03
0.45,0.0,4,dmon,0.0039,0.0005,2.23
0.45,0.0,4,mincut,0.0,0.0,2.69
0.45,0.2,0,louvain,0.7211,0.7421,0.08
0.45,0.2,0,leiden,0.8708,0.9112,0.06
0.45,0.2,0,kmeans,0.0909,0.0891,0.02
0.45,0.2,0,dmon,0.0661,0.0565,2.24
0.45,0.2,0,mincut,0.0,0.0,2.61
0.45,0.2,1,louvain,0.7558,0.8043,0.13
0.45,0.2,1,leiden,0.8353,0.8833,0.06
0.45,0.2,1,kmeans,0.0734,0.0616,0.03
0.45,0.2,1,dmon,0.1468,0.1413,2.25
0.45,0.2,1,mincut,0.0,0.0,2.65
0.45,0.2,2,louvain,0.8104,0.8529,0.08
0.45,0.2,2,leiden,0.8667,0.9086,0.07
0.45,0.2,2,kmeans,0.05,0.048,0.03
0.45,0.2,2,dmon,0.0714,0.0617,2.21
0.45,0.2,2,mincut,0.0042,0.0001,2.6
0.45,0.2,3,louvain,0.8546,0.8938,0.1
0.45,0.2,3,leiden,0.8768,0.9164,0.06
0.45,0.2,3,kmeans,0.1119,0.1077,0.03
0.45,0.2,3,dmon,0.2307,0.2196,2.27
0.45,0.2,3,mincut,0.0011,-0.0,2.65
0.45,0.2,4,louvain,0.841,0.886,0.11
0.45,0.2,4,leiden,0.8371,0.8836,0.06
0.45,0.2,4,kmeans,0.1309,0.13,0.03
0.45,0.2,4,dmon,0.1989,0.1987,2.39
0.45,0.2,4,mincut,0.0,0.0,2.71
0.45,0.35,0,louvain,0.7211,0.7421,0.08
0.45,0.35,0,leiden,0.8708,0.9112,0.06
0.45,0.35,0,kmeans,0.4238,0.4588,0.02
0.45,0.35,0,dmon,0.6524,0.6801,2.43
0.45,0.35,0,mincut,0.8659,0.8997,2.76
0.45,0.35,1,louvain,0.7558,0.8043,0.13
0.45,0.35,1,leiden,0.8353,0.8833,0.06
0.45,0.35,1,kmeans,0.4793,0.5221,0.03
0.45,0.35,1,dmon,0.8057,0.8564,2.29
0.45,0.35,1,mincut,0.0207,0.0006,2.74
0.45,0.35,2,louvain,0.8104,0.8529,0.09
0.45,0.35,2,leiden,0.8667,0.9086,0.07
0.45,0.35,2,kmeans,0.417,0.4539,0.03
0.45,0.35,2,dmon,0.6586,0.7065,2.39
0.45,0.35,2,mincut,0.8557,0.8989,2.75
0.45,0.35,3,louvain,0.8546,0.8938,0.1
0.45,0.35,3,leiden,0.8768,0.9164,0.06
0.45,0.35,3,kmeans,0.5697,0.6244,0.02
0.45,0.35,3,dmon,0.7021,0.7265,2.28
0.45,0.35,3,mincut,0.935,0.9578,2.74
0.45,0.35,4,louvain,0.841,0.886,0.11
0.45,0.35,4,leiden,0.8371,0.8836,0.06
0.45,0.35,4,kmeans,0.5033,0.5515,0.02
0.45,0.35,4,dmon,0.8337,0.8746,2.3
0.45,0.35,4,mincut,0.903,0.9345,2.75
0.45,0.5,0,louvain,0.7211,0.7421,0.08
0.45,0.5,0,leiden,0.8708,0.9112,0.06
0.45,0.5,0,kmeans,0.7088,0.7585,0.02
0.45,0.5,0,dmon,0.9183,0.938,2.4
0.45,0.5,0,mincut,0.9547,0.9709,2.85
0.45,0.5,1,louvain,0.7558,0.8043,0.12
0.45,0.5,1,leiden,0.8353,0.8833,0.06
0.45,0.5,1,kmeans,0.7624,0.8114,0.01
0.45,0.5,1,dmon,0.9439,0.9656,2.48
0.45,0.5,1,mincut,0.9517,0.9708,2.82
0.45,0.5,2,louvain,0.8104,0.8529,0.09
0.45,0.5,2,leiden,0.8667,0.9086,0.07
0.45,0.5,2,kmeans,0.6986,0.7449,0.01
0.45,0.5,2,dmon,0.916,0.9449,2.46
0.45,0.5,2,mincut,0.9531,0.9709,2.89
0.45,0.5,3,louvain,0.8546,0.8938,0.1
0.45,0.5,3,leiden,0.8768,0.9164,0.06
0.45,0.5,3,kmeans,0.8401,0.8861,0.01
0.45,0.5,3,dmon,0.9607,0.9761,2.41
0.45,0.5,3,mincut,0.9822,0.9894,2.87
0.45,0.5,4,louvain,0.841,0.886,0.11
0.45,0.5,4,leiden,0.8371,0.8836,0.06
0.45,0.5,4,kmeans,0.7821,0.8307,0.01
0.45,0.5,4,dmon,0.949,0.9683,2.4
0.45,0.5,4,mincut,0.9644,0.9788,2.76
0.45,0.65,0,louvain,0.7211,0.7421,0.08
0.45,0.65,0,leiden,0.8708,0.9112,0.06
0.45,0.65,0,kmeans,0.9011,0.9228,0.01
0.45,0.65,0,dmon,0.9674,0.9788,2.29
0.45,0.65,0,mincut,0.9906,0.9947,2.71
0.45,0.65,1,louvain,0.7558,0.8043,0.12
0.45,0.65,1,leiden,0.8353,0.8833,0.06
0.45,0.65,1,kmeans,0.9299,0.9552,0.01
0.45,0.65,1,dmon,0.9869,0.992,2.36
0.45,0.65,1,mincut,0.9785,0.9867,2.73
0.45,0.65,2,louvain,0.8104,0.8529,0.09
0.45,0.65,2,leiden,0.8667,0.9086,0.07
0.45,0.65,2,kmeans,0.8879,0.919,0.01
0.45,0.65,2,dmon,0.9869,0.992,2.29
0.45,0.65,2,mincut,0.9859,0.992,2.68
0.45,0.65,3,louvain,0.8546,0.8938,0.1
0.45,0.65,3,leiden,0.8768,0.9164,0.06
0.45,0.65,3,kmeans,0.9738,0.9841,0.01
0.45,0.65,3,dmon,1.0,1.0,2.3
0.45,0.65,3,mincut,1.0,1.0,2.74
0.45,0.65,4,louvain,0.841,0.886,0.11
0.45,0.65,4,leiden,0.8371,0.8836,0.06
0.45,0.65,4,kmeans,0.9347,0.9553,0.01
0.45,0.65,4,dmon,0.9859,0.992,2.41
0.45,0.65,4,mincut,0.9859,0.992,2.77
0.45,0.8,0,louvain,0.7211,0.7421,0.08
0.45,0.8,0,leiden,0.8708,0.9112,0.06
0.45,0.8,0,kmeans,0.9554,0.9684,0.01
0.45,0.8,0,dmon,1.0,1.0,2.33
0.45,0.8,0,mincut,1.0,1.0,2.73
0.45,0.8,1,louvain,0.7558,0.8043,0.13
0.45,0.8,1,leiden,0.8353,0.8833,0.06
0.45,0.8,1,kmeans,0.9859,0.992,0.01
0.45,0.8,1,dmon,1.0,1.0,2.35
0.45,0.8,1,mincut,1.0,1.0,2.71
0.45,0.8,2,louvain,0.8104,0.8529,0.09
0.45,0.8,2,leiden,0.8667,0.9086,0.07
0.45,0.8,2,kmeans,0.9573,0.9734,0.01
0.45,0.8,2,dmon,0.9953,0.9973,2.28
0.45,0.8,2,mincut,1.0,1.0,2.7
0.45,0.8,3,louvain,0.8546,0.8938,0.1
0.45,0.8,3,leiden,0.8768,0.9164,0.06
0.45,0.8,3,kmeans,1.0,1.0,0.01
0.45,0.8,3,dmon,1.0,1.0,2.29
0.45,0.8,3,mincut,1.0,1.0,2.68
0.45,0.8,4,louvain,0.841,0.886,0.11
0.45,0.8,4,leiden,0.8371,0.8836,0.06
0.45,0.8,4,kmeans,0.9906,0.9947,0.01
0.45,0.8,4,dmon,1.0,1.0,2.3
0.45,0.8,4,mincut,1.0,1.0,2.68
0.45,1.0,0,louvain,0.7211,0.7421,0.08
0.45,1.0,0,leiden,0.8708,0.9112,0.06
0.45,1.0,0,kmeans,0.9953,0.9973,0.01
0.45,1.0,0,dmon,1.0,1.0,2.31
0.45,1.0,0,mincut,1.0,1.0,2.69
0.45,1.0,1,louvain,0.7558,0.8043,0.25
0.45,1.0,1,leiden,0.8353,0.8833,0.06
0.45,1.0,1,kmeans,1.0,1.0,0.01
0.45,1.0,1,dmon,1.0,1.0,2.35
0.45,1.0,1,mincut,1.0,1.0,2.75
0.45,1.0,2,louvain,0.8104,0.8529,0.09
0.45,1.0,2,leiden,0.8667,0.9086,0.07
0.45,1.0,2,kmeans,0.9953,0.9973,0.01
0.45,1.0,2,dmon,1.0,1.0,2.32
0.45,1.0,2,mincut,1.0,1.0,2.72
0.45,1.0,3,louvain,0.8546,0.8938,0.1
0.45,1.0,3,leiden,0.8768,0.9164,0.06
0.45,1.0,3,kmeans,1.0,1.0,0.01
0.45,1.0,3,dmon,1.0,1.0,2.35
0.45,1.0,3,mincut,1.0,1.0,2.75
0.45,1.0,4,louvain,0.841,0.886,0.11
0.45,1.0,4,leiden,0.8371,0.8836,0.06
0.45,1.0,4,kmeans,1.0,1.0,0.01
0.45,1.0,4,dmon,1.0,1.0,2.33
0.45,1.0,4,mincut,1.0,1.0,2.75
0.45,1.5,0,louvain,0.7211,0.7421,0.08
0.45,1.5,0,leiden,0.8708,0.9112,0.06
0.45,1.5,0,kmeans,1.0,1.0,0.01
0.45,1.5,0,dmon,1.0,1.0,2.31
0.45,1.5,0,mincut,1.0,1.0,2.73
0.45,1.5,1,louvain,0.7558,0.8043,0.13
0.45,1.5,1,leiden,0.8353,0.8833,0.06
0.45,1.5,1,kmeans,1.0,1.0,0.01
0.45,1.5,1,dmon,1.0,1.0,2.34
0.45,1.5,1,mincut,1.0,1.0,2.75
0.45,1.5,2,louvain,0.8104,0.8529,0.09
0.45,1.5,2,leiden,0.8667,0.9086,0.07
0.45,1.5,2,kmeans,1.0,1.0,0.01
0.45,1.5,2,dmon,1.0,1.0,2.33
0.45,1.5,2,mincut,1.0,1.0,2.71
0.45,1.5,3,louvain,0.8546,0.8938,0.1
0.45,1.5,3,leiden,0.8768,0.9164,0.06
0.45,1.5,3,kmeans,1.0,1.0,0.01
0.45,1.5,3,dmon,1.0,1.0,2.3
0.45,1.5,3,mincut,1.0,1.0,2.88
0.45,1.5,4,louvain,0.841,0.886,0.11
0.45,1.5,4,leiden,0.8371,0.8836,0.06
0.45,1.5,4,kmeans,1.0,1.0,0.01
0.45,1.5,4,dmon,1.0,1.0,2.5
0.45,1.5,4,mincut,1.0,1.0,2.77
0.55,0.0,0,louvain,0.9402,0.963,0.08
0.55,0.0,0,leiden,0.9449,0.9656,0.05
0.55,0.0,0,kmeans,0.007,0.0033,0.03
0.55,0.0,0,dmon,0.0116,0.0081,2.4
0.55,0.0,0,mincut,0.0,0.0,2.75
0.55,0.0,1,louvain,0.9611,0.9761,0.07
0.55,0.0,1,leiden,0.9648,0.9788,0.05
0.55,0.0,1,kmeans,0.0012,-0.0019,0.03
0.55,0.0,1,dmon,0.0029,-0.0004,2.35
0.55,0.0,1,mincut,0.0,0.0,2.84
0.55,0.0,2,louvain,0.9406,0.963,0.08
0.55,0.0,2,leiden,0.9406,0.963,0.05
0.55,0.0,2,kmeans,0.0029,-0.0003,0.03
0.55,0.0,2,dmon,0.0087,0.0045,2.38
0.55,0.0,2,mincut,0.0021,0.0003,2.77
0.55,0.0,3,louvain,0.9812,0.9893,0.06
0.55,0.0,3,leiden,0.9775,0.9867,0.05
0.55,0.0,3,kmeans,0.0065,0.003,0.03
0.55,0.0,3,dmon,0.0053,0.0017,2.37
0.55,0.0,3,mincut,0.0,0.0,2.8
0.55,0.0,4,louvain,0.9554,0.9708,0.09
0.55,0.0,4,leiden,0.949,0.9682,0.06
0.55,0.0,4,kmeans,0.0026,-0.0006,0.03
0.55,0.0,4,dmon,0.0116,0.0075,2.39
0.55,0.0,4,mincut,0.0,0.0,2.96
0.55,0.2,0,louvain,0.9402,0.963,0.08
0.55,0.2,0,leiden,0.9449,0.9656,0.06
0.55,0.2,0,kmeans,0.0909,0.0891,0.02
0.55,0.2,0,dmon,0.1996,0.1902,2.44
0.55,0.2,0,mincut,0.7022,0.746,2.78
0.55,0.2,1,louvain,0.9611,0.9761,0.07
0.55,0.2,1,leiden,0.9648,0.9788,0.05
0.55,0.2,1,kmeans,0.0734,0.0616,0.03
0.55,0.2,1,dmon,0.4603,0.498,2.26
0.55,0.2,1,mincut,0.7821,0.8366,2.81
0.55,0.2,2,louvain,0.9406,0.963,0.08
0.55,0.2,2,leiden,0.9406,0.963,0.05
0.55,0.2,2,kmeans,0.05,0.048,0.03
0.55,0.2,2,dmon,0.1661,0.1589,2.45
0.55,0.2,2,mincut,0.7142,0.7605,2.92
0.55,0.2,3,louvain,0.9812,0.9893,0.07
0.55,0.2,3,leiden,0.9775,0.9867,0.05
0.55,0.2,3,kmeans,0.1119,0.1077,0.03
0.55,0.2,3,dmon,0.2922,0.2719,2.35
0.55,0.2,3,mincut,0.871,0.9089,2.75
0.55,0.2,4,louvain,0.9554,0.9708,0.09
0.55,0.2,4,leiden,0.949,0.9682,0.06
0.55,0.2,4,kmeans,0.1309,0.13,0.03
0.55,0.2,4,dmon,0.3828,0.3703,2.33
0.55,0.2,4,mincut,0.8141,0.8576,3.12
0.55,0.35,0,louvain,0.9402,0.963,0.08
0.55,0.35,0,leiden,0.9449,0.9656,0.05
0.55,0.35,0,kmeans,0.4238,0.4588,0.02
0.55,0.35,0,dmon,0.6622,0.6559,2.35
0.55,0.35,0,mincut,0.9305,0.9552,2.72
0.55,0.35,1,louvain,0.9611,0.9761,0.08
0.55,0.35,1,leiden,0.9648,0.9788,0.05
0.55,0.35,1,kmeans,0.4793,0.5221,0.03
0.55,0.35,1,dmon,0.9142,0.9423,2.33
0.55,0.35,1,mincut,0.9557,0.9709,2.76
0.55,0.35,2,louvain,0.9406,0.963,0.07
0.55,0.35,2,leiden,0.9406,0.963,0.05
0.55,0.35,2,kmeans,0.417,0.4539,0.03
0.55,0.35,2,dmon,0.8619,0.897,2.25
0.55,0.35,2,mincut,0.9423,0.9605,2.7
0.55,0.35,3,louvain,0.9812,0.9893,0.06
0.55,0.35,3,leiden,0.9775,0.9867,0.05
0.55,0.35,3,kmeans,0.5697,0.6244,0.02
0.55,0.35,3,dmon,0.9644,0.9787,2.27
0.55,0.35,3,mincut,0.9765,0.9867,2.7
0.55,0.35,4,louvain,0.9554,0.9708,0.09
0.55,0.35,4,leiden,0.949,0.9682,0.05
0.55,0.35,4,kmeans,0.5033,0.5515,0.02
0.55,0.35,4,dmon,0.9072,0.9348,2.29
0.55,0.35,4,mincut,0.9524,0.9683,2.7
0.55,0.5,0,louvain,0.9402,0.963,0.08
0.55,0.5,0,leiden,0.9449,0.9656,0.05
0.55,0.5,0,kmeans,0.7088,0.7585,0.02
0.55,0.5,0,dmon,0.9347,0.9554,2.28
0.55,0.5,0,mincut,0.9906,0.9947,2.7
0.55,0.5,1,louvain,0.9611,0.9761,0.07
0.55,0.5,1,leiden,0.9648,0.9788,0.05
0.55,0.5,1,kmeans,0.7624,0.8114,0.01
0.55,0.5,1,dmon,0.9822,0.9894,2.3
0.55,0.5,1,mincut,0.9738,0.984,2.74
0.55,0.5,2,louvain,0.9406,0.963,0.07
0.55,0.5,2,leiden,0.9406,0.963,0.05
0.55,0.5,2,kmeans,0.6986,0.7449,0.02
0.55,0.5,2,dmon,0.949,0.9682,2.29
0.55,0.5,2,mincut,0.9822,0.9894,2.71
0.55,0.5,3,louvain,0.9812,0.9893,0.06
0.55,0.5,3,leiden,0.9775,0.9867,0.05
0.55,0.5,3,kmeans,0.8401,0.8861,0.01
0.55,0.5,3,dmon,0.9859,0.992,2.34
0.55,0.5,3,mincut,1.0,1.0,2.73
0.55,0.5,4,louvain,0.9554,0.9708,0.09
0.55,0.5,4,leiden,0.949,0.9682,0.06
0.55,0.5,4,kmeans,0.7821,0.8307,0.01
0.55,0.5,4,dmon,0.9775,0.9867,2.29
0.55,0.5,4,mincut,0.9775,0.9867,2.75
0.55,0.65,0,louvain,0.9402,0.963,0.08
0.55,0.65,0,leiden,0.9449,0.9656,0.05
0.55,0.65,0,kmeans,0.9011,0.9228,0.01
0.55,0.65,0,dmon,1.0,1.0,2.32
0.55,0.65,0,mincut,0.9953,0.9973,2.73
0.55,0.65,1,louvain,0.9611,0.9761,0.07
0.55,0.65,1,leiden,0.9648,0.9788,0.05
0.55,0.65,1,kmeans,0.9299,0.9552,0.01
0.55,0.65,1,dmon,1.0,1.0,2.34
0.55,0.65,1,mincut,1.0,1.0,2.79
0.55,0.65,2,louvain,0.9406,0.963,0.07
0.55,0.65,2,leiden,0.9406,0.963,0.05
0.55,0.65,2,kmeans,0.8879,0.919,0.01
0.55,0.65,2,dmon,0.9953,0.9973,2.31
0.55,0.65,2,mincut,0.9953,0.9973,2.72
0.55,0.65,3,louvain,0.9812,0.9893,0.06
0.55,0.65,3,leiden,0.9775,0.9867,0.05
0.55,0.65,3,kmeans,0.9738,0.9841,0.01
0.55,0.65,3,dmon,1.0,1.0,2.3
0.55,0.65,3,mincut,1.0,1.0,2.73
0.55,0.65,4,louvain,0.9554,0.9708,0.09
0.55,0.65,4,leiden,0.949,0.9682,0.06
0.55,0.65,4,kmeans,0.9347,0.9553,0.01
0.55,0.65,4,dmon,0.9953,0.9973,2.46
0.55,0.65,4,mincut,0.9953,0.9973,2.87
0.55,0.8,0,louvain,0.9402,0.963,0.08
0.55,0.8,0,leiden,0.9449,0.9656,0.05
0.55,0.8,0,kmeans,0.9554,0.9684,0.01
0.55,0.8,0,dmon,1.0,1.0,2.46
0.55,0.8,0,mincut,1.0,1.0,2.78
0.55,0.8,1,louvain,0.9611,0.9761,0.07
0.55,0.8,1,leiden,0.9648,0.9788,0.05
0.55,0.8,1,kmeans,0.9859,0.992,0.01
0.55,0.8,1,dmon,1.0,1.0,2.36
0.55,0.8,1,mincut,1.0,1.0,2.74
0.55,0.8,2,louvain,0.9406,0.963,0.07
0.55,0.8,2,leiden,0.9406,0.963,0.05
0.55,0.8,2,kmeans,0.9573,0.9734,0.01
0.55,0.8,2,dmon,0.9953,0.9973,2.34
0.55,0.8,2,mincut,1.0,1.0,2.79
0.55,0.8,3,louvain,0.9812,0.9893,0.06
0.55,0.8,3,leiden,0.9775,0.9867,0.05
0.55,0.8,3,kmeans,1.0,1.0,0.01
0.55,0.8,3,dmon,1.0,1.0,2.35
0.55,0.8,3,mincut,1.0,1.0,2.75
0.55,0.8,4,louvain,0.9554,0.9708,0.09
0.55,0.8,4,leiden,0.949,0.9682,0.05
0.55,0.8,4,kmeans,0.9906,0.9947,0.01
0.55,0.8,4,dmon,1.0,1.0,2.32
0.55,0.8,4,mincut,1.0,1.0,2.82
0.55,1.0,0,louvain,0.9402,0.963,0.08
0.55,1.0,0,leiden,0.9449,0.9656,0.05
0.55,1.0,0,kmeans,0.9953,0.9973,0.01
0.55,1.0,0,dmon,1.0,1.0,2.34
0.55,1.0,0,mincut,1.0,1.0,2.75
0.55,1.0,1,louvain,0.9611,0.9761,0.07
0.55,1.0,1,leiden,0.9648,0.9788,0.05
0.55,1.0,1,kmeans,1.0,1.0,0.01
0.55,1.0,1,dmon,1.0,1.0,2.3
0.55,1.0,1,mincut,1.0,1.0,2.75
0.55,1.0,2,louvain,0.9406,0.963,0.07
0.55,1.0,2,leiden,0.9406,0.963,0.05
0.55,1.0,2,kmeans,0.9953,0.9973,0.01
0.55,1.0,2,dmon,1.0,1.0,2.28
0.55,1.0,2,mincut,1.0,1.0,2.72
0.55,1.0,3,louvain,0.9812,0.9893,0.19
0.55,1.0,3,leiden,0.9775,0.9867,0.05
0.55,1.0,3,kmeans,1.0,1.0,0.01
0.55,1.0,3,dmon,1.0,1.0,2.37
0.55,1.0,3,mincut,1.0,1.0,2.75
0.55,1.0,4,louvain,0.9554,0.9708,0.09
0.55,1.0,4,leiden,0.949,0.9682,0.06
0.55,1.0,4,kmeans,1.0,1.0,0.01
0.55,1.0,4,dmon,1.0,1.0,2.32
0.55,1.0,4,mincut,1.0,1.0,2.77
0.55,1.5,0,louvain,0.9402,0.963,0.08
0.55,1.5,0,leiden,0.9449,0.9656,0.05
0.55,1.5,0,kmeans,1.0,1.0,0.01
0.55,1.5,0,dmon,1.0,1.0,2.33
0.55,1.5,0,mincut,1.0,1.0,2.77
0.55,1.5,1,louvain,0.9611,0.9761,0.07
0.55,1.5,1,leiden,0.9648,0.9788,0.05
0.55,1.5,1,kmeans,1.0,1.0,0.01
0.55,1.5,1,dmon,1.0,1.0,2.35
0.55,1.5,1,mincut,1.0,1.0,2.74
0.55,1.5,2,louvain,0.9406,0.963,0.07
0.55,1.5,2,leiden,0.9406,0.963,0.05
0.55,1.5,2,kmeans,1.0,1.0,0.01
0.55,1.5,2,dmon,1.0,1.0,2.33
0.55,1.5,2,mincut,1.0,1.0,2.75
0.55,1.5,3,louvain,0.9812,0.9893,0.06
0.55,1.5,3,leiden,0.9775,0.9867,0.05
0.55,1.5,3,kmeans,1.0,1.0,0.01
0.55,1.5,3,dmon,1.0,1.0,2.32
0.55,1.5,3,mincut,1.0,1.0,2.75
0.55,1.5,4,louvain,0.9554,0.9708,0.09
0.55,1.5,4,leiden,0.949,0.9682,0.06
0.55,1.5,4,kmeans,1.0,1.0,0.01
0.55,1.5,4,dmon,1.0,1.0,2.35
0.55,1.5,4,mincut,1.0,1.0,2.74
0.65,0.0,0,louvain,0.9859,0.992,0.1
0.65,0.0,0,leiden,0.9953,0.9973,0.04
0.65,0.0,0,kmeans,0.007,0.0033,0.03
0.65,0.0,0,dmon,0.0112,0.0076,2.45
0.65,0.0,0,mincut,0.0,0.0,2.89
0.65,0.0,1,louvain,0.9953,0.9973,0.07
0.65,0.0,1,leiden,1.0,1.0,0.04
0.65,0.0,1,kmeans,0.0012,-0.0019,0.03
0.65,0.0,1,dmon,0.0143,0.0103,2.39
0.65,0.0,1,mincut,0.0,0.0,2.81
