structure,feature,seed,method,nmi,ari,seconds
0.05,0.5,4,mincut,0.0,0.0,2.51
0.05,0.65,0,louvain,0.0135,0.0025,0.11
0.05,0.65,0,leiden,0.0064,0.0011,0.07
0.05,0.65,0,kmeans,0.9011,0.9228,0.01
0.05,0.65,0,dmon,0.4528,0.429,2.17
0.05,0.65,0,mincut,0.0,0.0,2.53
0.05,0.65,1,louvain,0.0109,0.0014,0.13
0.05,0.65,1,leiden,0.007,0.0014,0.07
0.05,0.65,1,kmeans,0.9299,0.9552,0.01
0.05,0.65,1,dmon,0.8489,0.8936,2.16
0.05,0.65,1,mincut,0.0,0.0,2.54
0.05,0.65,2,louvain,0.0073,0.0001,0.17
0.05,0.65,2,leiden,0.0079,0.0011,0.07
0.05,0.65,2,kmeans,0.8879,0.919,0.01
0.05,0.65,2,dmon,0.6562,0.6922,2.17
0.05,0.65,2,mincut,0.002,-0.0,2.52
0.05,0.65,3,louvain,0.0091,0.0015,0.14
0.05,0.65,3,leiden,0.0097,0.0017,0.08
0.05,0.65,3,kmeans,0.9738,0.9841,0.01
0.05,0.65,3,dmon,0.8932,0.9269,2.17
0.05,0.65,3,mincut,0.0081,0.0012,2.52
0.05,0.65,4,louvain,0.0095,-0.0005,0.12
0.05,0.65,4,leiden,0.0102,0.0016,0.08
0.05,0.65,4,kmeans,0.9347,0.9553,0.01
0.05,0.65,4,dmon,0.8338,0.8747,2.18
0.05,0.65,4,mincut,0.0002,-0.0,2.53
0.05,0.8,0,louvain,0.0135,0.0025,0.11
0.05,0.8,0,leiden,0.0064,0.0011,0.07
0.05,0.8,0,kmeans,0.9554,0.9684,0.01
0.05,0.8,0,dmon,0.8622,0.9015,2.15
0.05,0.8,0,mincut,0.0,0.0,2.52
0.05,0.8,1,louvain,0.0109,0.0014,0.13
0.05,0.8,1,leiden,0.007,0.0014,0.07
0.05,0.8,1,kmeans,0.9859,0.992,0.01
0.05,0.8,1,dmon,0.9443,0.9656,2.16
0.05,0.8,1,mincut,0.0017,-0.0,2.54
0.05,0.8,2,louvain,0.0073,0.0001,0.17
0.05,0.8,2,leiden,0.0079,0.0011,0.08
0.05,0.8,2,kmeans,0.9573,0.9734,0.01
0.05,0.8,2,dmon,0.8837,0.9191,2.13
0.05,0.8,2,mincut,0.0,0.0,2.52
0.05,0.8,3,louvain,0.0091,0.0015,0.14
0.05,0.8,3,leiden,0.0097,0.0017,0.08
0.05,0.8,3,kmeans,1.0,1.0,0.01
0.05,0.8,3,dmon,0.9775,0.9867,2.16
0.05,0.8,3,mincut,0.0063,0.0007,2.51
0.05,0.8,4,louvain,0.0095,-0.0005,0.12
0.05,0.8,4,leiden,0.0102,0.0016,0.08
0.05,0.8,4,kmeans,0.9906,0.9947,0.01
0.05,0.8,4,dmon,0.9412,0.963,2.15
0.05,0.8,4,mincut,0.006,0.0,2.5
0.05,1.0,0,louvain,0.0135,0.0025,0.12
0.05,1.0,0,leiden,0.0064,0.0011,0.07
0.05,1.0,0,kmeans,0.9953,0.9973,0.01
0.05,1.0,0,dmon,0.9625,0.9762,2.19
0.05,1.0,0,mincut,0.0,0.0,2.54
0.05,1.0,1,louvain,0.0109,0.0014,0.13
0.05,1.0,1,leiden,0.007,0.0014,0.07
0.05,1.0,1,kmeans,1.0,1.0,0.01
0.05,1.0,1,dmon,1.0,1.0,2.18
0.05,1.0,1,mincut,0.002,0.0,2.52
0.05,1.0,2,louvain,0.0073,0.0001,0.17
0.05,1.0,2,leiden,0.0079,0.0011,0.08
0.05,1.0,2,kmeans,0.9953,0.9973,0.01
0.05,1.0,2,dmon,0.9691,0.9814,2.16
0.05,1.0,2,mincut,0.002,0.0,2.51
0.05,1.0,3,louvain,0.0091,0.0015,0.14
0.05,1.0,3,leiden,0.0097,0.0017,0.08
0.05,1.0,3,kmeans,1.0,1.0,0.01
0.05,1.0,3,dmon,1.0,1.0,2.14
0.05,1.0,3,mincut,0.0023,0.0003,2.51
0.05,1.0,4,louvain,0.0095,-0.0005,0.12
0.05,1.0,4,leiden,0.0102,0.0016,0.08
0.05,1.0,4,kmeans,1.0,1.0,0.01
0.05,1.0,4,dmon,0.9859,0.992,2.15
0.05,1.0,4,mincut,0.0,0.0,2.53
0.05,1.5,0,louvain,0.0135,0.0025,0.11
0.05,1.5,0,leiden,0.0064,0.0011,0.07
0.05,1.5,0,kmeans,1.0,1.0,0.01
0.05,1.5,0,dmon,1.0,1.0,2.14
0.05,1.5,0,mincut,0.0,0.0,2.5
0.05,1.5,1,louvain,0.0109,0.0014,0.13
0.05,1.5,1,leiden,0.007,0.0014,0.07
0.05,1.5,1,kmeans,1.0,1.0,0.01
0.05,1.5,1,dmon,1.0,1.0,2.16
0.05,1.5,1,mincut,0.0,0.0,2.53
0.05,1.5,2,louvain,0.0073,0.0001,0.17
0.05,1.5,2,leiden,0.0079,0.0011,0.08
0.05,1.5,2,kmeans,1.0,1.0,0.01
0.05,1.5,2,dmon,1.0,1.0,2.15
0.05,1.5,2,mincut,0.0,0.0,2.51
0.05,1.5,3,louvain,0.0091,0.0015,0.14
0.05,1.5,3,leiden,0.0097,0.0017,0.08
0.05,1.5,3,kmeans,1.0,1.0,0.01
0.05,1.5,3,dmon,1.0,1.0,2.18
0.05,1.5,3,mincut,0.0,0.0,2.56
0.05,1.5,4,louvain,0.0095,-0.0005,0.12
0.05,1.5,4,leiden,0.0102,0.0016,0.08
0.05,1.5,4,kmeans,1.0,1.0,0.01
0.05,1.5,4,dmon,1.0,1.0,2.16
0.05,1.5,4,mincut,0.0,0.0,2.53
0.2,0.0,0,louvain,0.0154,0.0058,0.16
0.2,0.0,0,leiden,0.0164,0.0069,0.08
0.2,0.0,0,kmeans,0.007,0.0033,0.02
0.2,0.0,0,dmon,0.0044,0.0009,2.19
0.2,0.0,0,mincut,0.0,0.0,2.57
0.2,0.0,1,louvain,0.0173,0.0052,0.15
0.2,0.0,1,leiden,0.0131,0.0058,0.06
0.2,0.0,1,kmeans,0.0012,-0.0019,0.03
0.2,0.0,1,dmon,0.0034,0.0002,2.19
0.2,0.0,1,mincut,0.0,0.0,2.55
0.2,0.0,2,louvain,0.029,0.0188,0.14
0.2,0.0,2,leiden,0.0195,0.0113,0.07
0.2,0.0,2,kmeans,0.0029,-0.0003,0.03
0.2,0.0,2,dmon,0.0011,-0.002,2.17
0.2,0.0,2,mincut,0.002,-0.0,2.55
0.2,0.0,3,louvain,0.0226,0.0112,0.11
0.2,0.0,3,leiden,0.0079,0.001,0.07
0.2,0.0,3,kmeans,0.0065,0.003,0.03
0.2,0.0,3,dmon,0.0051,0.0017,2.21
0.2,0.0,3,mincut,0.0,0.0,2.62
0.2,0.0,4,louvain,0.0353,0.0198,0.11
0.2,0.0,4,leiden,0.0292,0.0134,0.07
0.2,0.0,4,kmeans,0.0026,-0.0006,0.03
0.2,0.0,4,dmon,0.0038,0.0005,2.21
0.2,0.0,4,mincut,0.0,0.0,2.61
0.2,0.2,0,louvain,0.0154,0.0058,0.17
0.2,0.2,0,leiden,0.0164,0.0069,0.08
0.2,0.2,0,kmeans,0.0909,0.0891,0.02
0.2,0.2,0,dmon,0.0308,0.0234,2.24
0.2,0.2,0,mincut,0.0,0.0,2.6
0.2,0.2,1,louvain,0.0173,0.0052,0.15
0.2,0.2,1,leiden,0.0131,0.0058,0.06
0.2,0.2,1,kmeans,0.0734,0.0616,0.03
0.2,0.2,1,dmon,0.0421,0.0372,2.23
0.2,0.2,1,mincut,0.0,0.0,2.62
